Current (mA) - Plot 0,Voltage (mV) - Plot 0,
6.6,0.571769,
6.7,0.580095,
6.8,0.588408,
6.9,0.596715,
7,0.604996,
7.1,0.613286,
7.2,0.621548,
7.3,0.629804,
7.4,0.638056,
7.5,0.646292,
7.6,0.654514,
7.7,0.662716,
7.8,0.670905,
7.9,0.679107,
8,0.687279,
8.1,0.695453,
8.2,0.703607,
8.3,0.711765,
8.4,0.719897,
8.5,0.728014,
8.6,0.736138,
8.7,0.744253,
8.8,0.752348,
8.9,0.76044,
9,0.768513,
9.1,0.776575,
9.2,0.784642,
9.3,0.792681,
9.4,0.800721,
9.5,0.80875,
9.6,0.816772,
9.7,0.824781,
9.8,0.83279,
9.9,0.840783,
10,0.848762,
10.1,0.856734,
10.2,0.864717,
10.3,0.872663,
10.4,0.880608,
10.5,0.888548,
10.6,0.896477,
10.7,0.904418,
10.8,0.912331,
10.9,0.92024,
11,0.928137,
11.1,0.936037,
11.2,0.943904,
11.3,0.951782,
11.4,0.959662,
11.5,0.967528,
11.6,0.97536,
11.7,0.983198,
11.8,0.991041,
11.9,0.998858,
12,1.00669,
12.1,1.01457,
12.2,1.02237,
12.3,1.03017,
12.4,1.03795,
12.5,1.04574,
12.6,1.05352,
12.7,1.06129,
12.8,1.06905,
12.9,1.0768,
13,1.08457,
13.1,1.09232,
13.2,1.10004,
13.3,1.10777,
13.4,1.11549,
13.5,1.12322,
13.6,1.13092,
13.7,1.13862,
13.8,1.14633,
13.9,1.15401,
14,1.16169,
14.1,1.16937,
14.2,1.17704,
14.3,1.1847,
14.4,1.19236,
14.5,1.19999,
14.6,1.20764,
14.7,1.21527,
14.8,1.2229,
14.9,1.23051,
15,1.23815,
15.1,1.24577,
15.2,1.25336,
15.3,1.26097,
15.4,1.26854,
15.5,1.27613,
15.6,1.28369,
15.7,1.29128,
15.8,1.29886,
15.9,1.30642,
16,1.31396,
16.1,1.32153,
16.2,1.32905,
16.3,1.33659,
16.4,1.34414,
16.5,1.35164,
16.6,1.35916,
16.7,1.36665,
16.8,1.37417,
16.9,1.38169,
17,1.38918,
17.1,1.39668,
17.2,1.40415,
17.3,1.41163,
17.4,1.4191,
17.5,1.42657,
17.6,1.43403,
17.7,1.44148,
17.8,1.44892,
17.9,1.45636,
18,1.46377,
18.1,1.4712,
18.2,1.47861,
18.3,1.48604,
18.4,1.49346,
18.5,1.50085,
18.6,1.50825,
18.7,1.51564,
18.8,1.52306,
18.9,1.53043,
19,1.53781,
19.1,1.54519,
19.2,1.55252,
19.3,1.55991,
19.4,1.56723,
19.5,1.57457,
19.6,1.58192,
19.7,1.58925,
19.8,1.5966,
19.9,1.60391,
20,1.61123,
20.1,1.61856,
20.2,1.62584,
20.3,1.63318,
20.4,1.64048,
20.5,1.64776,
20.6,1.65504,
20.7,1.66232,
20.8,1.66957,
20.9,1.67687,
21,1.68413,
21.1,1.69138,
21.2,1.6986,
21.3,1.70588,
21.4,1.71311,
21.5,1.72038,
21.6,1.72764,
21.7,1.73486,
21.8,1.742,
21.9,1.74925,
22,1.75643,
22.1,1.76366,
22.2,1.77089,
22.3,1.77804,
22.4,1.78521,
22.5,1.7924,
22.6,1.79954,
22.7,1.80673,
22.8,1.81397,
22.9,1.82102,
23,1.82822,
23.1,1.83541,
23.2,1.84246,
23.3,1.84961,
23.4,1.85681,
23.5,1.86387,
23.6,1.87107,
23.7,1.87815,
23.8,1.88535,
23.9,1.89235,
24,1.89943,
24.1,1.9065,
24.2,1.91357,
24.3,1.92077,
24.4,1.92784,
24.5,1.93493,
24.6,1.94205,
24.7,1.94901,
24.8,1.95604,
24.9,1.96313,
25,1.97018,
25,1.97017,
24.9,1.96311,
24.8,1.95611,
24.7,1.94897,
24.6,1.94206,
24.5,1.93495,
24.4,1.92773,
24.3,1.92083,
24.2,1.91377,
24.1,1.90656,
24,1.8994,
23.9,1.89228,
23.8,1.88527,
23.7,1.87809,
23.6,1.87106,
23.5,1.86385,
23.4,1.85674,
23.3,1.8496,
23.2,1.84244,
23.1,1.83529,
23,1.82815,
22.9,1.821,
22.8,1.81384,
22.7,1.80666,
22.6,1.79948,
22.5,1.79233,
22.4,1.78526,
22.3,1.77801,
22.2,1.7708,
22.1,1.76361,
22,1.75643,
21.9,1.7492,
21.8,1.74201,
21.7,1.73482,
21.6,1.72763,
21.5,1.72033,
21.4,1.71316,
21.3,1.70583,
21.2,1.6986,
21.1,1.69137,
21,1.68412,
20.9,1.67681,
20.8,1.66959,
20.7,1.66227,
20.6,1.65501,
20.5,1.64773,
20.4,1.6404,
20.3,1.63312,
20.2,1.62583,
20.1,1.61851,
20,1.61118,
19.9,1.60388,
19.8,1.59655,
19.7,1.58921,
19.6,1.58189,
19.5,1.57454,
19.4,1.56719,
19.3,1.55984,
19.2,1.55248,
19.1,1.5451,
19,1.53773,
18.9,1.53039,
18.8,1.52299,
18.7,1.51563,
18.6,1.5082,
18.5,1.5008,
18.4,1.4934,
18.3,1.486,
18.2,1.47859,
18.1,1.47116,
18,1.46375,
17.9,1.4563,
17.8,1.44885,
17.7,1.44142,
17.6,1.43395,
17.5,1.42648,
17.4,1.41905,
17.3,1.41158,
17.2,1.4041,
17.1,1.39663,
17,1.38914,
16.9,1.38165,
16.8,1.37414,
16.7,1.36664,
16.6,1.35913,
16.5,1.35162,
16.4,1.3441,
16.3,1.33657,
16.2,1.32902,
16.1,1.32148,
16,1.31393,
15.9,1.30636,
15.8,1.29881,
15.7,1.29123,
15.6,1.28366,
15.5,1.27607,
15.4,1.26849,
15.3,1.26092,
15.2,1.25332,
15.1,1.24572,
15,1.23811,
14.9,1.2305,
14.8,1.22287,
14.7,1.21524,
14.6,1.20759,
14.5,1.19995,
14.4,1.19231,
14.3,1.18464,
14.2,1.17697,
14.1,1.16931,
14,1.16163,
13.9,1.15393,
13.8,1.14625,
13.7,1.13854,
13.6,1.13084,
13.5,1.12314,
13.4,1.11545,
13.3,1.1077,
13.2,1.09999,
13.1,1.09224,
13,1.0845,
12.9,1.07676,
12.8,1.06898,
12.7,1.06124,
12.6,1.05347,
12.5,1.04569,
12.4,1.03792,
12.3,1.03012,
12.2,1.02232,
12.1,1.01452,
12,1.00664,
11.9,0.998848,
11.8,0.991018,
11.7,0.983188,
11.6,0.975332,
11.5,0.967478,
11.4,0.959617,
11.3,0.951748,
11.2,0.943884,
11.1,0.936008,
11,0.928099,
10.9,0.92019,
10.8,0.912292,
10.7,0.904365,
10.6,0.896451,
10.5,0.888524,
10.4,0.880588,
10.3,0.872624,
10.2,0.864698,
10.1,0.856712,
10,0.84874,
9.9,0.840766,
9.8,0.832765,
9.7,0.824762,
9.6,0.816746,
9.5,0.808735,
9.4,0.800706,
9.3,0.792656,
9.2,0.784611,
9.1,0.776542,
9,0.768483,
8.9,0.760403,
8.8,0.752315,
8.7,0.744223,
8.6,0.73611,
8.5,0.728006,
8.4,0.719875,
8.3,0.711744,
8.2,0.70359,
8.1,0.695431,
8,0.687281,
7.9,0.679073,
7.8,0.670892,
7.7,0.662691,
7.6,0.654479,
7.5,0.646248,
7.4,0.638015,
7.3,0.629786,
7.2,0.621516,
7.1,0.613264,
7,0.604975,
6.9,0.596689,
6.8,0.588379,
6.7,0.580065,
6.6,0.571754,
6.5,0.563409,
6.4,0.555046,
6.3,0.546695,
6.2,0.538338,
6.1,0.529953,
6,0.521558,
5.9,0.513146,
5.8,0.504721,
5.7,0.496303,
5.6,0.48786,
5.5,0.479403,
5.4,0.470936,
5.3,0.462469,
5.2,0.453975,
5.1,0.445475,
5,0.436956,
4.9,0.42844,
4.8,0.419908,
4.7,0.411363,
4.6,0.402807,
4.5,0.394234,
4.4,0.385658,
4.3,0.377066,
4.2,0.368466,
4.1,0.359855,
4,0.351229,
3.9,0.342602,
3.8,0.333961,
3.7,0.325301,
3.6,0.316641,
3.5,0.307962,
3.4,0.299281,
3.3,0.290591,
3.2,0.281883,
3.1,0.273167,
3,0.264453,
2.9,0.255723,
2.8,0.24699,
2.7,0.238236,
2.6,0.229484,
2.5,0.220717,
2.4,0.211948,
2.3,0.203173,
2.2,0.194394,
2.1,0.185608,
2,0.176805,
1.9,0.168003,
1.8,0.159195,
1.7,0.15039,
1.6,0.141556,
1.5,0.132735,
1.4,0.123889,
1.3,0.115048,
1.2,0.106213,
1.1,0.0973777,
1,0.0885275,
0.9,0.0796712,
0.8,0.0708129,
0.7,0.0619652,
0.6,0.0530913,
0.5,0.0442465,
0.4,0.0353882,
0.3,0.0265123,
0.2,0.0176558,
0.1,0.00880782,
2.80E-15,-7.58E-05,
-0.1,-0.00894451,
